Temp,Pressure (kPa),v,u,h,s,state
160,30000,0.001082,660.81,693.27,1.9095,liquid
180,30000,0.001105,745.57,778.71,2.1024,liquid
200,30000,0.00113,831.34,865.24,2.2892,liquid
220,30000,0.001159,918.32,953.09,2.471,liquid
240,30000,0.001192,1006.84,1042.6,2.6489,liquid
260,30000,0.00123,1097.38,1134.29,2.8242,liquid
280,30000,0.001275,1190.69,1228.96,2.9985,liquid
300,30000,0.00133,1287.89,1327.8,3.174,liquid
320,30000,0.0014,1390.64,1432.63,3.3538,liquid
340,30000,0.001492,1501.71,1546.47,3.5425,liquid
360,30000,0.001627,1626.57,1675.36,3.7492,liquid
380,30000,0.001869,1781.35,1837.43,4.001,liquid
0,50000,0.000977,0.2,49.03,?0.0014,liquid
20,50000,0.00098,80.98,130,0.2847,liquid
40,50000,0.000987,161.84,211.2,0.5526,liquid
60,50000,0.000996,242.96,292.77,0.8051,liquid
80,50000,0.001007,324.32,374.68,1.0439,liquid
100,50000,0.00102,405.86,456.87,1.2703,liquid
120,50000,0.001035,487.63,539.37,1.4857,liquid
140,50000,0.001052,569.76,622.33,1.6915,liquid
160,50000,0.00107,652.39,705.91,1.889,liquid
180,50000,0.001091,735.68,790.24,2.0793,liquid
200,50000,0.001115,819.73,875.46,2.2634,liquid
220,50000,0.001141,904.67,961.71,2.4419,liquid
240,50000,0.00117,990.69,1049.2,2.6158,liquid
260,50000,0.001203,1078.06,1138.23,2.786,liquid
280,50000,0.001242,1167.19,1229.26,2.9536,liquid
300,50000,0.001286,1258.66,1322.95,3.12,liquid
320,50000,0.001339,1353.23,1420.17,3.2867,liquid
340,50000,0.001403,1451.91,1522.07,3.4556,liquid
360,50000,0.001484,1555.97,1630.16,3.629,liquid
380,50000,0.001588,1667.13,1746.54,3.81,liquid
