Temp,Pressure (kPa),v,u,h,s,state
400,1400,0.2178,2952.5,3257.42,7.3025,superheated
400,1600,0.19005,2950.09,3254.17,7.2373,superheated
400,1800,0.16847,2947.66,3250.9,7.1793,superheated
400,2000,0.1512,2945.21,3247.6,7.127,superheated
400,2500,0.1201,2939.03,3239.28,7.0147,superheated
400,3000,0.09936,2932.75,3230.82,6.9211,superheated
400,4000,0.07341,2919.88,3213.51,6.7689,superheated
400,5000,0.05781,2906.58,3195.64,6.6458,superheated
400,6000,0.04739,2892.81,3177.17,6.5407,superheated
400,8000,0.03432,2863.75,3138.28,6.3633,superheated
400,10000,0.02641,2832.38,3096.46,6.2119,superheated
400,15000,0.01565,2740.7,2975.44,5.881,superheated
400,20000,0.00994,2619.22,2818.07,5.5539,superheated
400,30000,0.00279,2067.34,2151.04,4.4728,superheated
400,40000,0.001908,1854.52,1930.83,4.1134,superheated
425,30000,0.005304,2455.06,2614.17,5.1503,superheated
425,40000,0.002532,2096.83,2198.11,4.5028,superheated
450,2000,0.16353,3030.41,3357.48,7.2844,superheated
450,2500,0.13014,3025.43,3350.77,7.1745,superheated
450,3000,0.10787,3020.38,3344,7.0833,superheated
450,4000,0.08003,3010.13,3330.23,6.9362,superheated
450,5000,0.0633,2999.64,3316.15,6.8185,superheated
450,6000,0.05214,2988.9,3301.76,6.7192,superheated
450,8000,0.03817,2966.66,3271.99,6.555,superheated
450,10000,0.02975,2943.32,3240.83,6.4189,superheated
450,15000,0.01845,2879.47,3156.15,6.1403,superheated
450,20000,0.0127,2806.16,3060.06,5.9016,superheated
450,30000,0.006735,2619.3,2821.35,5.4423,superheated
450,40000,0.003693,2365.07,2512.79,4.9459,superheated
500,10,35.67896,3132.26,3489.05,9.8977,superheated
500,50,7.13364,3131.94,3488.62,9.1545,superheated
500,100,3.56547,3131.54,3488.09,8.8341,superheated
500,200,1.78139,3130.75,3487.03,8.5132,superheated
500,300,1.18669,3129.95,3485.96,8.325,superheated
500,400,0.88934,3129.15,3484.89,8.1912,superheated
500,500,0.71093,3128.35,3483.82,8.0872,superheated
500,600,0.59199,3127.55,3482.75,8.002,superheated
500,800,0.44331,3125.95,3480.6,7.8672,superheated
500,1000,0.35411,3124.34,3478.44,7.7621,superheated
500,1200,0.29463,3122.72,3476.28,7.6758,superheated
500,1400,0.25215,3121.1,3474.11,7.6026,superheated
500,1600,0.22029,3119.47,3471.93,7.5389,superheated
500,1800,0.1955,3117.84,3469.75,7.4824,superheated
500,2000,0.17568,3116.2,3467.55,7.4316,superheated
500,2500,0.13998,3112.08,3462.04,7.3233,superheated
500,3000,0.11619,3107.92,3456.48,7.2337,superheated
500,4000,0.08643,3099.49,3445.21,7.09,superheated
500,5000,0.06857,3090.92,3433.76,6.9758,superheated
500,6000,0.05665,3082.2,3422.12,6.8802,superheated
500,8000,0.04175,3064.3,3398.27,6.7239,superheated
500,10000,0.03279,3045.77,3373.63,6.5965,superheated
500,15000,0.0208,2996.52,3308.53,6.3442,superheated
500,20000,0.01477,2942.82,3238.18,6.14,superheated
500,30000,0.008679,2820.67,3081.03,5.7904,superheated
500,40000,0.005623,2678.36,2903.26,5.4699,superheated
550,5000,0.07368,3181.82,3550.23,7.1217,superheated
550,6000,0.06101,3174.57,3540.62,7.0287,superheated
550,8000,0.04516,3159.76,3521.01,6.8778,superheated
550,10000,0.03564,3144.54,3500.92,6.7561,superheated
550,15000,0.02293,3104.71,3448.61,6.5198,superheated
550,20000,0.01656,3062.34,3393.45,6.3347,superheated
550,30000,0.010168,2970.31,3275.36,6.0342,superheated
550,40000,0.006984,2869.69,3149.05,5.7784,superheated
600,10,40.29488,3302.45,3705.4,10.1608,superheated
600,50,8.05748,3302.22,3705.1,9.4177,superheated
600,100,4.02781,3301.94,3704.72,9.0975,superheated
600,200,2.01297,3301.36,3703.96,8.7769,superheated
600,300,1.34136,3300.79,3703.2,8.5892,superheated
600,400,1.00555,3300.22,3702.44,8.4557,superheated
600,500,0.80406,3299.64,3701.67,8.3521,superheated
600,600,0.66974,3299.07,3700.91,8.2673,superheated
600,800,0.50184,3297.91,3699.38,8.1332,superheated
